cpu,1,bert,PyTorch1,41.5957,0.5149
cpu,1,bert,TF,45.6037,0.6219
cpu,1,bert,TF-XLA,43.1330,0.7137
cpu,1,bert_full,PyTorch1,11.2045,0.0535
cpu,1,resnet50,AutoTVM,45.6302,0.0238
cpu,1,resnet50,PyTorch1,39.6890,0.4675
cpu,1,resnet50,TVM,46.2281,0.0083
cpu,1,resnet50_3d,PyTorch1,130.6349,0.5949
cpu,1,resnet50_3d,TVM,128.2608,0.0576
cpu,1,resnext50_32x4d,TVM,55.4617,0.0587
cpu,10,resnet50,PyTorch1,120.8582,1.8705
cpu,10,resnet50_3d,PyTorch1,417.0071,10.3098
cpu,11,resnet50,PyTorch1,176.0439,2.1125
cpu,11,resnet50_3d,PyTorch1,482.2466,19.3169
cpu,12,resnet50,PyTorch1,192.5746,2.4288
cpu,12,resnet50_3d,PyTorch1,528.4139,27.0083
cpu,13,resnet50,PyTorch1,189.5137,3.8347
cpu,13,resnet50_3d,PyTorch1,560.1489,20.7163
cpu,14,resnet50,PyTorch1,211.2672,2.5150
cpu,14,resnet50_3d,PyTorch1,685.2405,8.1455
cpu,15,resnet50,PyTorch1,188.9794,5.2138
cpu,15,resnet50_3d,PyTorch1,697.7065,8.3280
cpu,16,resnet50,PyTorch1,236.0115,3.5956
cpu,16,resnet50_3d,PyTorch1,786.2722,8.8995
cpu,17,resnet50,PyTorch1,251.0220,3.1923
cpu,17,resnet50_3d,PyTorch1,737.0773,32.5514
cpu,18,resnet50,PyTorch1,255.3041,6.4824
cpu,19,resnet50,PyTorch1,278.2435,3.6004
cpu,2,resnet50,PyTorch1,52.6219,1.6840
cpu,2,resnet50,TVM,93.3061,0.4728
cpu,2,resnet50_3d,PyTorch1,88.4735,1.4049
cpu,2,resnet50_3d,TVM,254.1420,0.1483
cpu,2,resnext50_32x4d,TVM,107.9344,0.0761
cpu,20,resnet50,PyTorch1,304.9488,7.6390
cpu,21,resnet50,PyTorch1,352.3351,19.9868
cpu,22,resnet50,PyTorch1,330.9437,3.0877
cpu,23,resnet50,PyTorch1,383.2757,19.2605
cpu,24,resnet50,PyTorch1,372.3103,4.9734
cpu,25,resnet50,PyTorch1,430.7868,21.4308
cpu,26,resnet50,PyTorch1,451.8145,25.7592
cpu,27,resnet50,PyTorch1,455.0924,24.4949
cpu,28,resnet50,PyTorch1,494.3442,25.2251
cpu,29,resnet50,PyTorch1,503.8571,24.6452
cpu,3,resnet50,PyTorch1,62.5422,0.9309
cpu,3,resnet50,TVM,131.6184,0.0860
cpu,3,resnet50_3d,PyTorch1,119.7084,1.8241
cpu,3,resnet50_3d,TVM,393.3529,0.3907
cpu,3,resnext50_32x4d,TVM,154.3675,0.1866
cpu,30,resnet50,PyTorch1,478.7543,9.7618
cpu,31,resnet50,PyTorch1,530.0943,28.0589
cpu,32,resnet50,PyTorch1,528.0238,5.6398
cpu,4,resnet50,PyTorch1,71.9676,2.8894
cpu,4,resnet50_3d,PyTorch1,154.4432,4.7657
cpu,5,resnet50,PyTorch1,78.7046,0.7935
cpu,5,resnet50_3d,PyTorch1,224.1835,3.9590
cpu,6,resnet50,PyTorch1,89.2870,3.2442
cpu,6,resnet50_3d,PyTorch1,238.5989,3.3794
cpu,7,resnet50,PyTorch1,104.1942,1.9279
cpu,7,resnet50_3d,PyTorch1,294.9849,3.1979
cpu,8,resnet50,PyTorch1,111.5787,1.2401
cpu,8,resnet50_3d,PyTorch1,336.4539,6.7939
cpu,9,resnet50,PyTorch1,120.6287,2.7133
cpu,9,resnet50_3d,PyTorch1,371.7931,9.8245
gpu,1,bert,PyTorch1,2.1338,0.0129
gpu,1,bert_full,PyTorch1,6.2672,0.0273
gpu,1,resnet50,PyTorch1,3.3833,0.0130
gpu,2,resnet50,PyTorch1,3.4144,0.0278
gpu,3,resnet50,PyTorch1,3.8072,0.0051
